CustomerID,TotalSpent,AvgOrderValue,OrderValueStd,OrderCount,TotalQuantity,AvgQuantity,QuantityStd,FirstPurchase,LastPurchase,UniqueProducts,CustomerLifetime,AvgDaysBetweenOrders,RevenuePerDay,Is_Anomaly,Anomaly_Score
12347.0,4310.0,23.68,23.29,182,2458,13.51,18.86,2010-12-07 14:57:00,2011-12-07 15:52:00,103,365,2.0054945054945055,11.808219178082192,1,0.1424565476105082
12348.0,1797.24,57.98,48.51,31,2341,75.52,51.09,2010-12-16 19:09:00,2011-09-25 13:13:00,22,282,9.096774193548388,6.3731914893617025,1,0.07796673291283873
12352.0,2506.04,29.48,51.69,85,536,6.31,4.44,2011-02-16 12:33:00,2011-11-03 14:37:00,59,260,3.0588235294117645,9.638615384615385,1,0.16057244296165324
12356.0,2811.43,47.65,48.57,59,1591,26.97,24.62,2011-01-18 09:50:00,2011-11-17 08:40:00,53,302,5.11864406779661,9.309370860927151,1,0.13394941354887363
12358.0,1168.06,61.48,52.28,19,248,13.05,9.41,2011-07-12 10:04:00,2011-12-08 10:26:00,13,149,7.842105263157895,7.839328859060402,1,0.13599790664224948
12359.0,6372.58,25.7,31.34,248,1622,6.54,5.0,2011-01-12 12:43:00,2011-10-13 12:47:00,214,274,1.1048387096774193,23.25759124087591,1,0.09210706423632986
12360.0,2662.06,20.64,21.39,129,1165,9.03,4.87,2011-05-23 09:43:00,2011-10-18 15:22:00,105,148,1.1472868217054264,17.98689189189189,1,0.17008002837181452
12362.0,5226.23,19.65,9.66,266,2229,8.38,5.84,2011-02-17 10:30:00,2011-12-06 15:40:00,201,292,1.0977443609022557,17.898047945205477,1,0.12771762644412699
12363.0,552.0,24.0,15.75,23,408,17.74,9.25,2011-04-11 13:29:00,2011-08-22 10:18:00,23,132,5.739130434782608,4.181818181818182,1,0.17714260694170464
12364.0,1313.1,15.45,8.91,85,1506,17.72,19.44,2011-08-19 15:24:00,2011-12-02 10:22:00,70,104,1.223529411764706,12.625961538461537,1,0.16510830613881344
12370.0,3545.69,21.23,21.12,167,2353,14.09,32.6,2010-12-14 12:58:00,2011-10-19 14:51:00,143,309,1.8502994011976048,11.474724919093852,1,0.1599346457364852
