Country,TotalRevenue,AvgOrderValue,OrderCount,UniqueCustomers,UniqueOrders,TotalItems,Region,RevenuePerCustomer,OrdersPerCustomer
Australia,138521.31,116.9,1185,9,57,84209,Asia Pacific,15391.256666666666,6.333333333333333
Austria,10198.68,25.62,398,11,17,4881,Europe,927.1527272727272,1.5454545454545454
Bahrain,548.4,32.26,17,2,2,260,Asia Pacific,274.2,1.0
Belgium,41196.34,20.28,2031,25,98,23237,Europe,1647.8536,3.92
Brazil,1143.6,35.74,32,1,1,356,Americas,1143.6,1.0
Canada,3666.38,24.28,151,4,6,2763,Americas,916.595,1.5
Channel Islands,20450.44,27.34,748,9,26,9491,Other,2272.271111111111,2.888888888888889
Cyprus,13590.38,22.13,614,8,16,6361,Europe,1698.7975,2.0
Czech Republic,826.74,33.07,25,1,2,671,Europe,826.74,2.0
Denmark,18955.34,49.88,380,9,18,8235,Europe,2106.148888888889,2.0
EIRE,265545.9,36.69,7238,3,260,140525,Europe,88515.3,86.66666666666667
European Community,1300.25,21.67,60,1,4,499,Europe,1300.25,4.0
Finland,22546.08,32.91,685,12,41,10704,Europe,1878.8400000000001,3.4166666666666665
France,209024.05,25.06,8342,87,389,111472,Europe,2402.5752873563215,4.471264367816092
Germany,228867.14,25.31,9042,94,457,119263,Europe,2434.7568085106386,4.861702127659575
Greece,4760.52,32.83,145,4,5,1557,Europe,1190.13,1.25
Iceland,4310.0,23.68,182,1,7,2458,Europe,4310.0,7.0
Israel,7221.69,29.12,248,3,5,4046,Asia Pacific,2407.23,1.6666666666666667
Italy,17483.24,23.06,758,14,38,8112,Europe,1248.8028571428572,2.7142857142857144
Japan,37416.37,116.56,321,8,19,26016,Asia Pacific,4677.04625,2.375
Lebanon,1693.88,37.64,45,1,1,386,Asia Pacific,1693.88,1.0
Lithuania,1661.06,47.46,35,1,4,652,Europe,1661.06,4.0
Malta,2725.59,24.34,112,2,5,970,Other,1362.795,2.5
Netherlands,285446.34,120.8,2363,9,95,200937,Europe,31716.260000000002,10.555555555555555
Norway,36165.44,33.74,1072,10,36,19338,Europe,3616.5440000000003,3.6
Poland,7334.65,22.23,330,6,19,3684,Europe,1222.4416666666666,3.1666666666666665
Portugal,33439.89,22.87,1462,19,57,16122,Europe,1759.9942105263158,3.0
RSA,1002.31,17.28,58,1,1,352,Other,1002.31,1.0
Saudi Arabia,145.92,16.21,9,1,1,80,Asia Pacific,145.92,1.0
Singapore,21279.29,95.85,222,1,7,5241,Asia Pacific,21279.29,7.0
Spain,61577.11,24.78,2485,30,90,27951,Europe,2052.5703333333336,3.0
Sweden,38378.33,85.1,451,8,36,36083,Europe,4797.29125,4.5
Switzerland,56443.95,30.64,1842,21,51,30083,Europe,2687.807142857143,2.4285714285714284
USA,3580.39,20.0,179,4,5,2458,Americas,895.0975,1.25
United Arab Emirates,1902.28,27.97,68,2,3,982,Asia Pacific,951.14,1.5
United Kingdom,7308391.55,20.63,354345,3921,16649,4269472,Europe,1863.9101122162713,4.2461106860494775
Unspecified,2667.07,10.93,244,4,8,1789,Other,666.7675,2.0
