CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,RFM_Segment,FirstPurchase,LastPurchase,AvgOrderValue,OrderValueStd,TotalItems,AvgItemsPerOrder,ProductDiversity,Country,CustomerLifetime,DaysSinceLastPurchase,PurchaseFrequency
12346,326,1,77183.6,1,1,5,7,Lost,2011-01-18 10:01:00,2011-01-18 10:01:00,77183.6,,74215,74215.0,1,United Kingdom,0,326,
12347,2,7,4310.0,5,5,5,15,Champions,2010-12-07 14:57:00,2011-12-07 15:52:00,23.68,23.29,2458,13.51,103,Iceland,365,2,
12348,75,4,1797.24,2,4,4,10,At Risk,2010-12-16 19:09:00,2011-09-25 13:13:00,57.98,48.51,2341,75.52,22,Finland,282,75,
12349,19,1,1757.55,4,1,4,9,New Customers,2011-11-21 09:51:00,2011-11-21 09:51:00,24.08,34.66,631,8.64,73,Italy,0,19,
12350,310,1,334.4,1,1,2,4,Lost,2011-02-02 16:01:00,2011-02-02 16:01:00,19.67,7.28,197,11.59,17,Norway,0,310,
12352,36,8,2506.04,3,5,5,13,Potential Loyalists,2011-02-16 12:33:00,2011-11-03 14:37:00,29.48,51.69,536,6.31,59,Norway,260,36,
12353,204,1,89.0,1,1,1,3,Lost,2011-05-19 17:47:00,2011-05-19 17:47:00,22.25,12.22,20,5.0,4,Bahrain,0,204,
12354,232,1,1079.4,1,1,4,6,Lost,2011-04-21 13:11:00,2011-04-21 13:11:00,18.61,8.68,530,9.14,58,Spain,0,232,
12355,214,1,459.4,1,1,2,4,Lost,2011-05-09 13:49:00,2011-05-09 13:49:00,35.34,29.7,240,18.46,13,Bahrain,0,214,
12356,23,3,2811.43,4,3,5,12,Loyal Customers,2011-01-18 09:50:00,2011-11-17 08:40:00,47.65,48.57,1591,26.97,53,Portugal,302,23,
12357,33,1,6207.67,4,1,5,10,New Customers,2011-11-06 16:07:00,2011-11-06 16:07:00,47.39,39.56,2708,20.67,131,Switzerland,0,33,
12358,2,2,1168.06,5,2,4,11,New Customers,2011-07-12 10:04:00,2011-12-08 10:26:00,61.48,52.28,248,13.05,13,Austria,149,2,
12359,58,4,6372.58,3,4,5,12,Potential Loyalists,2011-01-12 12:43:00,2011-10-13 12:47:00,25.7,31.34,1622,6.54,214,Cyprus,274,58,
12360,52,3,2662.06,3,3,5,11,Potential Loyalists,2011-05-23 09:43:00,2011-10-18 15:22:00,20.64,21.39,1165,9.03,105,Austria,148,52,
12361,287,1,189.9,1,1,1,3,Lost,2011-02-25 13:51:00,2011-02-25 13:51:00,18.99,3.28,91,9.1,10,Belgium,0,287,
12362,3,10,5226.23,5,5,5,15,Champions,2011-02-17 10:30:00,2011-12-06 15:40:00,19.65,9.66,2229,8.38,201,Belgium,292,3,
