Date,DateKey,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,WeekOfYear,IsWeekend,IsMonthEnd,IsQuarterEnd,IsYearEnd
2010-12-01 08:26:00,20101201,2010,4,12,December,1,2,Wednesday,48,False,False,False,False
2010-12-02 08:26:00,20101202,2010,4,12,December,2,3,Thursday,48,False,False,False,False
2010-12-03 08:26:00,20101203,2010,4,12,December,3,4,Friday,48,False,False,False,False
2010-12-04 08:26:00,20101204,2010,4,12,December,4,5,Saturday,48,True,False,False,False
2010-12-05 08:26:00,20101205,2010,4,12,December,5,6,Sunday,48,True,False,False,False
2010-12-06 08:26:00,20101206,2010,4,12,December,6,0,Monday,49,False,False,False,False
2010-12-07 08:26:00,20101207,2010,4,12,December,7,1,Tuesday,49,False,False,False,False
2010-12-08 08:26:00,20101208,2010,4,12,December,8,2,Wednesday,49,False,False,False,False
2010-12-09 08:26:00,20101209,2010,4,12,December,9,3,Thursday,49,False,False,False,False
2010-12-10 08:26:00,20101210,2010,4,12,December,10,4,Friday,49,False,False,False,False
2010-12-11 08:26:00,20101211,2010,4,12,December,11,5,Saturday,49,True,False,False,False
2010-12-12 08:26:00,20101212,2010,4,12,December,12,6,Sunday,49,True,False,False,False
2010-12-13 08:26:00,20101213,2010,4,12,December,13,0,Monday,50,False,False,False,False
2010-12-14 08:26:00,20101214,2010,4,12,December,14,1,Tuesday,50,False,False,False,False
2010-12-15 08:26:00,20101215,2010,4,12,December,15,2,Wednesday,50,False,False,False,False
2010-12-16 08:26:00,20101216,2010,4,12,December,16,3,Thursday,50,False,False,False,False
2010-12-17 08:26:00,20101217,2010,4,12,December,17,4,Friday,50,False,False,False,False
2010-12-18 08:26:00,20101218,2010,4,12,December,18,5,Saturday,50,True,False,False,False
2010-12-19 08:26:00,20101219,2010,4,12,December,19,6,Sunday,50,True,False,False,False
2010-12-20 08:26:00,20101220,2010,4,12,December,20,0,Monday,51,False,False,False,False
2010-12-21 08:26:00,20101221,2010,4,12,December,21,1,Tuesday,51,False,False,False,False
2010-12-22 08:26:00,20101222,2010,4,12,December,22,2,Wednesday,51,False,False,False,False
2010-12-23 08:26:00,20101223,2010,4,12,December,23,3,Thursday,51,False,False,False,False
2010-12-24 08:26:00,20101224,2010,4,12,December,24,4,Friday,51,False,False,False,False
2010-12-25 08:26:00,20101225,2010,4,12,December,25,5,Saturday,51,True,False,False,False
2010-12-26 08:26:00,20101226,2010,4,12,December,26,6,Sunday,51,True,False,False,False
2010-12-27 08:26:00,20101227,2010,4,12,December,27,0,Monday,52,False,False,False,False
2010-12-28 08:26:00,20101228,2010,4,12,December,28,1,Tuesday,52,False,False,False,False
2010-12-29 08:26:00,20101229,2010,4,12,December,29,2,Wednesday,52,False,False,False,False
2010-12-30 08:26:00,20101230,2010,4,12,December,30,3,Thursday,52,False,False,False,False
2010-12-31 08:26:00,20101231,2010,4,12,December,31,4,Friday,52,False,True,True,True
2011-01-01 08:26:00,20110101,2011,1,1,January,1,5,Saturday,52,True,False,False,False
2011-01-02 08:26:00,20110102,2011,1,1,January,2,6,Sunday,52,True,False,False,False
2011-01-03 08:26:00,20110103,2011,1,1,January,3,0,Monday,1,False,False,False,False
2011-01-04 08:26:00,20110104,2011,1,1,January,4,1,Tuesday,1,False,False,False,False
2011-01-05 08:26:00,20110105,2011,1,1,January,5,2,Wednesday,1,False,False,False,False
