StockCode,Description,TotalQuantity,AvgQuantity,OrderCount,TotalRevenue,AvgPrice,UniqueOrders,UniqueCustomers,RevenuePerOrder,ItemsPerOrder,CustomerPenetration
10002,INFLATABLE POLITICAL GLOBE ,823,16.8,49,699.55,14.28,49,40,14.276530612244898,16.79591836734694,0.00921871398939848
10080,GROOVY CACTUS INFLATABLE,291,13.86,21,114.41,5.45,21,19,5.448095238095238,13.857142857142858,0.004378889144964277
10120,DOGGY RUBBER,193,6.43,30,40.53,1.35,29,25,1.3975862068965517,6.655172413793103,0.005761696243374049
10123C,HEARTS WRAPPING TAPE ,5,1.67,3,3.25,1.08,3,3,1.0833333333333333,1.6666666666666667,0.0006914035492048859
10124A,SPOTS ON RED BOOKCOVER TAPE,16,3.2,5,6.72,1.34,5,5,1.3439999999999999,3.2,0.00115233924867481
10124G,ARMY CAMO BOOKCOVER TAPE,17,4.25,4,7.14,1.78,4,4,1.785,4.25,0.0009218713989398478
10125,MINI FUNKY DESIGN TAPES,1226,19.16,64,930.3,14.54,61,49,15.250819672131147,20.098360655737704,0.011292924637013136
10133,COLOURING PENCILS BROWN TUBE,2384,19.23,124,1143.61,9.22,122,101,9.373852459016392,19.540983606557376,0.02327725282323116
10135,COLOURING PENCILS BROWN TUBE,1938,16.02,121,1786.69,14.77,117,92,15.270854700854702,16.564102564102566,0.021203042175616502
11001,ASSTD DESIGN RACING CAR PEN,1252,19.56,64,1953.0,30.52,62,44,31.5,20.193548387096776,0.010140585388338327
15030,FAN BLACK FRAME ,143,11.0,13,41.47,3.19,12,11,3.455833333333333,11.916666666666666,0.002535146347084582
15034,PAPER POCKET TRAVELING FAN ,6419,70.54,91,697.06,7.66,91,70,7.659999999999999,70.53846153846153,0.01613274948144734
15036,ASSORTED COLOURS SILK FAN,21876,67.31,325,16044.44,49.37,324,194,49.519876543209875,67.51851851851852,0.04471076284858262
15039,SANDALWOOD FAN,1559,21.96,71,1133.15,15.96,70,58,16.187857142857144,22.271428571428572,0.013367135284627794
15044A,PINK PAPER PARASOL ,428,5.42,79,1248.28,15.8,78,53,16.003589743589743,5.487179487179487,0.012214796035952985
15044B,BLUE PAPER PARASOL ,307,6.4,48,865.65,18.03,48,36,18.034375,6.395833333333333,0.00829684259045863
15044C,PURPLE PAPER PARASOL,272,4.46,61,782.4,12.83,60,43,13.04,4.533333333333333,0.009910117538603365
15044D,RED PAPER PARASOL,630,8.51,74,1735.74,23.46,73,53,23.7772602739726,8.63013698630137,0.012214796035952985
15056BL,EDWARDIAN PARASOL BLACK,2779,9.55,291,15218.67,52.3,291,142,52.29783505154639,9.549828178694158,0.0327264346623646
15056N,EDWARDIAN PARASOL NATURAL,3826,10.02,382,20696.71,54.18,378,184,54.75320105820106,10.121693121693122,0.042406084351233005
15056P,EDWARDIAN PARASOL PINK,769,5.61,137,4254.16,31.05,135,87,31.512296296296295,5.696296296296296,0.02005070292694169
15058A,BLUE POLKADOT GARDEN PARASOL,148,2.9,51,1104.6,21.66,51,40,21.658823529411762,2.9019607843137254,0.00921871398939848
15058B,PINK POLKADOT GARDEN PARASOL,115,2.8,41,866.25,21.13,41,32,21.128048780487806,2.8048780487804876,0.007374971191518783
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,6.43,30,894.35,29.81,30,26,29.811666666666667,6.433333333333334,0.005992164093109011
15060B,FAIRY CAKE DESIGN UMBRELLA,411,4.33,95,1482.87,15.61,95,68,15.60915789473684,4.326315789473684,0.015671813781977413
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,41.31,70,360.71,5.15,70,54,5.153,41.31428571428572,0.012445263885687946
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,10.0,3,3.6,1.2,3,3,1.2,10.0,0.0006914035492048859
16011,ANIMAL STICKERS,1773,37.72,47,372.33,7.92,46,38,8.094130434782608,38.54347826086956,0.008757778289928554
16012,FOOD/DRINK SPONGE STICKERS,1244,33.62,37,261.24,7.06,35,33,7.464,35.542857142857144,0.0076054390412537455
16014,SMALL CHINESE STYLE SCISSOR,13328,246.81,54,4335.76,80.29,54,34,80.29185185185186,246.8148148148148,0.007835906890988707
16015,MEDIUM CHINESE STYLE SCISSOR,662,27.58,24,289.98,12.08,24,19,12.082500000000001,27.583333333333332,0.004378889144964277
16016,LARGE CHINESE STYLE SCISSOR,1273,19.58,65,1053.45,16.21,65,41,16.20692307692308,19.584615384615386,0.00944918183913344
16020C,CLEAR STATIONERY BOX SET ,6,3.0,2,5.1,2.55,2,1,2.55,3.0,0.00023046784973496196
16033,MINI HIGHLIGHTER PENS,840,210.0,4,100.8,25.2,4,4,25.2,210.0,0.0009218713989398478
16043,POP ART PUSH DOWN RUBBER ,98,49.0,2,11.76,5.88,2,2,5.88,49.0,0.0004609356994699239
16045,POPART WOODEN PENCILS ASST,8900,128.99,69,380.0,5.51,68,61,5.588235294117647,130.88235294117646,0.01405853883383268
16046,TEATIME PEN CASE & PENS,67,4.19,16,56.95,3.56,13,13,4.380769230769231,5.153846153846154,0.0029960820465545056
16048,TEATIME ROUND PENCIL SHARPENER ,1437,29.33,49,186.84,3.81,47,41,3.9753191489361703,30.574468085106382,0.00944918183913344
16049,TEATIME GEL PENS ASST,504,100.8,5,82.08,16.42,5,5,16.416,100.8,0.00115233924867481
16052,TEATIME PUSH DOWN RUBBER,467,77.83,6,105.29,17.55,6,5,17.548333333333336,77.83333333333333,0.00115233924867481
16054,POPART RECT PENCIL SHARPENER ASST,1166,35.33,33,140.52,4.26,33,29,4.258181818181819,35.333333333333336,0.006683567642313897
16151A,FLOWERS HANDBAG blue and orange,49,16.33,3,61.25,20.42,3,3,20.416666666666668,16.333333333333332,0.0006914035492048859
16156L,WRAP CAROUSEL,375,26.79,14,157.5,11.25,14,13,11.25,26.785714285714285,0.0029960820465545056
16156L,"WRAP, CAROUSEL",100,25.0,4,42.0,10.5,4,4,10.5,25.0,0.0009218713989398478
16156S,WRAP PINK FAIRY CAKES ,5800,34.73,167,2331.0,13.96,167,135,13.95808383233533,34.73053892215569,0.031113159714219865
16161G,WRAP BAD HAIR DAY,700,31.82,22,70.0,3.18,22,22,3.1818181818181817,31.818181818181817,0.005070292694169164
16161M,WRAP  PINK FLOCK,25,25.0,1,10.5,10.5,1,1,10.5,25.0,0.00023046784973496196
16161P,WRAP ENGLISH ROSE ,7226,29.02,249,2990.92,12.01,248,189,12.060161290322581,29.137096774193548,0.04355842359990781
16161U,WRAP SUKI AND FRIENDS,4075,30.41,134,1687.5,12.59,134,105,12.593283582089553,30.41044776119403,0.024199124222171006
16162L,THE KING GIFT BAG,17,2.83,6,11.05,1.84,6,5,1.8416666666666668,2.8333333333333335,0.00115233924867481
16162M,THE KING GIFT BAG 25x24x12cm,26,3.71,7,10.92,1.56,7,6,1.56,3.7142857142857144,0.0013828070984097719
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,16.45,20,138.18,6.91,20,19,6.909000000000001,16.45,0.004378889144964277
16169E,WRAP 50'S  CHRISTMAS,4563,30.42,150,1892.46,12.62,149,143,12.701073825503356,30.624161073825505,0.03295690251209956
16169K,WRAP FOLK ART,200,25.0,8,84.0,10.5,8,8,10.5,25.0,0.0018437427978796957
16169M,WRAP DAISY CARPET ,660,25.38,26,277.2,10.66,25,24,11.088,26.4,0.0055312283936390875
16169N,WRAP BLUE RUSSIAN FOLKART,25,25.0,1,10.5,10.5,1,1,10.5,25.0,0.00023046784973496196
16169P,WRAP GREEN RUSSIAN FOLKART ,50,25.0,2,21.0,10.5,2,2,10.5,25.0,0.0004609356994699239
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,2,3.5,1.75,2,2,1.75,3.5,0.0004609356994699239
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,2,14.5,7.25,2,2,7.25,14.5,0.0004609356994699239
16202E,BLACK PHOTO ALBUM ,15,5.0,3,7.5,2.5,3,3,2.5,5.0,0.0006914035492048859
16206B,RED PURSE WITH PINK HEART,7,3.5,2,8.75,4.38,2,2,4.375,3.5,0.0004609356994699239
16207A,PINK STRAWBERRY HANDBAG ,13,2.6,5,38.35,7.67,5,4,7.67,2.6,0.0009218713989398478
16207B,PINK HEART RED HANDBAG,4,1.33,3,11.31,3.77,3,3,3.77,1.3333333333333333,0.0006914035492048859
16216,LETTER SHAPE PENCIL SHARPENER,3316,80.88,41,227.14,5.54,41,38,5.54,80.8780487804878,0.008757778289928554
16218,CARTOON  PENCIL SHARPENERS,3760,75.2,50,253.2,5.06,50,43,5.064,75.2,0.009910117538603365
16219,HOUSE SHAPE PENCIL SHARPENER,2915,62.02,47,309.9,6.59,47,41,6.593617021276596,62.02127659574468,0.00944918183913344
16225,RATTLE SNAKE EGGS,762,9.9,77,599.34,7.78,75,57,7.9912,10.16,0.013136667434892833
16235,RECYCLED PENCIL WITH RABBIT ERASER,2665,32.9,81,525.75,6.49,80,68,6.571875,33.3125,0.015671813781977413
16236,KITTY PENCIL ERASERS,1296,17.75,73,266.56,3.65,73,59,3.6515068493150684,17.753424657534246,0.013597603134362757
16237,SLEEPING CAT ERASERS,4598,27.21,169,886.08,5.24,162,109,5.46962962962963,28.382716049382715,0.025120995621110854
16238,PARTY TIME PENCIL ERASERS,1261,15.76,80,265.51,3.32,78,61,3.403974358974359,16.166666666666668,0.01405853883383268
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,3.5,2,7.85,3.92,2,2,3.925,3.5,0.0004609356994699239
16248B,BLUE HOLE PUNCH,13,1.86,7,16.25,2.32,7,7,2.3214285714285716,1.8571428571428572,0.0016132749481447338
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,3.44,9,27.91,3.1,9,7,3.101111111111111,3.4444444444444446,0.0016132749481447338
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,11.71,38,156.53,4.12,38,29,4.11921052631579,11.710526315789474,0.006683567642313897
16259,PIECE OF CAMO STATIONERY SET,3380,109.03,31,326.56,10.53,31,28,10.534193548387098,109.03225806451613,0.006453099792578935
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,72.0,1,20.88,20.88,1,1,20.88,72.0,0.00023046784973496196
17003,BROCADE RING PURSE ,22963,109.87,209,5980.05,28.61,206,136,29.029368932038835,111.47087378640776,0.031343627563954826
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,12.0,2,50.4,25.2,2,2,25.2,12.0,0.0004609356994699239
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,13.33,6,62.15,10.36,6,6,10.358333333333333,13.333333333333334,0.0013828070984097719
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,10.8,25,244.9,9.8,24,21,10.204166666666667,11.25,0.004839824844434202
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,12.64,36,422.55,11.74,36,33,11.7375,12.63888888888889,0.0076054390412537455
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,363,8.25,44,344.35,7.83,43,37,8.008139534883721,8.44186046511628,0.008527310440193593
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,387,8.41,46,366.35,7.96,44,35,8.326136363636364,8.795454545454545,0.00806637474072367
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,59,14.75,4,52.05,13.01,3,3,17.349999999999998,19.666666666666668,0.0006914035492048859
